output/wavepoints_0.csv: x0=20, z0=0, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_94.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_95.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_96.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_97.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=-10, spin_y=20
output/wavepoints_98.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=-20, spin_y=30
output/wavepoints_99.csv: x0=30, z0=28, v0=22, angle_y=30, dir_angle=-20, spin_y=40
output/wavepoints_100.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=30, spin_y=-50
output/wavepoints_101.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=20, spin_y=-40
output/wavepoints_102.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_103.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=20, spin_y=-30
output/wavepoints_104.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=10, spin_y=-20
output/wavepoints_105.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=20, spin_y=-20
output/wavepoints_106.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_107.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_108.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_109.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_110.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-10, spin_y=20
output/wavepoints_111.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-20, spin_y=30
output/wavepoints_112.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-30, spin_y=40
output/wavepoints_113.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-20, spin_y=40
output/wavepoints_114.csv: x0=30, z0=35, v0=22, angle_y=30, dir_angle=-30, spin_y=50
output/wavepoints_115.csv: x0=30, z0=42, v0=22, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_116.csv: x0=30, z0=42, v0=22, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_117.csv: x0=30, z0=42, v0=22, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_118.csv: x0=30, z0=42, v0=22, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_119.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_120.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_121.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_122.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_123.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=-10, spin_y=20
output/wavepoints_124.csv: x0=30, z0=49, v0=30, angle_y=20, dir_angle=-20, spin_y=40
output/wavepoints_125.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=30, spin_y=-60
output/wavepoints_126.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=30, spin_y=-50
output/wavepoints_127.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=20, spin_y=-40
output/wavepoints_128.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=20, spin_y=-30
output/wavepoints_129.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=10, spin_y=-20
output/wavepoints_130.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=10, spin_y=-10
output/wavepoints_131.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=0, spin_y=0
output/wavepoints_132.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=-10, spin_y=10
output/wavepoints_133.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=-20, spin_y=30
output/wavepoints_134.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=-30, spin_y=50
output/wavepoints_135.csv: x0=30, z0=56, v0=30, angle_y=20, dir_angle=-30, spin_y=60
output/wavepoints_136.csv: x0=40, z0=7, v0=30, angle_y=30, dir_angle=20, spin_y=-20
output/wavepoints_137.csv: x0=40, z0=14, v0=30, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_138.csv: x0=40, z0=14, v0=30, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_139.csv: x0=40, z0=14, v0=30, angle_y=30, dir_angle=-20, spin_y=20
output/wavepoints_140.csv: x0=40, z0=14, v0=30, angle_y=30, dir_angle=-30, spin_y=40
output/wavepoints_141.csv: x0=40, z0=14, v0=30, angle_y=30, dir_angle=-30, spin_y=50
output/wavepoints_142.csv: x0=40, z0=49, v0=30, angle_y=30, dir_angle=-30, spin_y=50
output/wavepoints_143.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=30, spin_y=-50
output/wavepoints_144.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=30, spin_y=-40
output/wavepoints_145.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=20, spin_y=-30
output/wavepoints_146.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=20, spin_y=-20
output/wavepoints_147.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=10, spin_y=-10
output/wavepoints_148.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=0, spin_y=0
output/wavepoints_149.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=-10, spin_y=10
output/wavepoints_150.csv: x0=40, z0=56, v0=30, angle_y=30, dir_angle=-30, spin_y=40
Total simulations conducted: 32760
Total successful goals: 151
